,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost,first_word
261,40,Male,Frankfurt,Software Engineer,22.0,3.0,Senior,Java,"Kotlin, Javascript / Typescript, Java / Scala, Kubernetes, Docker",72000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No,Java
262,28,Male,Munich,"Fullstack engineer, ну или Software engineer",9.0,1.0,Senior,React/Typescript,MongoDB,60000.0,28.0,full-time,Unlimited contract,English,up to 10,Startup,No,React
263,29,Male,Berlin,Backend Developer,11.0,2.0,Senior,Python,"Python, Go, AWS, Kubernetes, Docker",85000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No,Python
264,31,Male,Berlin,Software Engineer,9.0,1.0,Lead,Java,"AWS, Docker",75000.0,24.0,full-time,Unlimited contract,English,1000+,Startup,No,Java
265,24,Male,Aachen,HiWi,3.0,2.0,Junior,Python,"Python, C/C++",10164.0,14.0,part-time,Temporary contract,English,11-50,University,No,Python
266,31,Male,Munich,Software Engineer,11.0,1.0,Middle,Python,Docker,75000.0,100.0,full-time,Unlimited contract,English,1000+,Product,No,Python
267,44,Male,Munich,Software Engineer,28.0,6.0,Senior,C#,"C/C++, .NET, SQL",78500.0,30.0,full-time,Unlimited contract,English,51-100,Product,No,C
268,32,Male,Berlin,Software Engineer,12.0,1.0,Senior,Java,"Python, SQL, AWS, Kubernetes, Docker",83000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No,Java
269,30,Male,Karlsruhe ,Backend Developer,8.0,8.0,Lead,Python,"Python, C/C++, Javascript / Typescript, Java / Scala",65000.0,29.0,part-time,Unlimited contract,English,up to 10,Product,No,Python
270,33,Male,Berlin,Software Engineer,10.0,1.0,Middle,iOS,Swift,65000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No,iOS
271,46,Male,Munich,Software Engineer,10.0,2.0,Senior,Python ,"Javascript / Typescript, AWS",68500.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No,Python
272,27,Male,Berlin,Frontend Developer,8.0,1.0,Middle,Angular,Javascript / Typescript,45000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No,Angular
273,32,Male,Berlin,Backend Developer,5.0,3.0,Middle,Ruby,"Javascript / Typescript, AWS, Docker",72000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No,Ruby
274,34,Male,Berlin,Software Engineer,15.0,2.0,Lead,Java,"Java / Scala, SQL",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No,Java
275,33,Male,Berlin,Software Engineer,10.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,Salesforce ,"Python, Javascript / Typescript, Apex",68000.0,25.0,full-time,Temporary contract,English,11-50,Startup,No,Salesforce
276,26,Male,"Riga, Latvia",Software Engineer,4.0,0.0,Middle,javascript,"Javascript / Typescript, SAP / ABAP",24000.0,20.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No,javascript
277,41,Male,Berlin,Software Engineer,19.0,7.0,Lead,Python,"C/C++, SQL, AWS, Kubernetes, Docker",95500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,Python
278,35,Male,Cologne,Software Engineer,14.0,7.0,Senior,C++,"Python, C/C++, SQL",72000.0,35.0,full-time,Unlimited contract,English,101-1000,Product,No,C
279,26,Male,Hamburg,Software Engineer,7.0,3.5,Senior,TypeScript,"Python, Javascript / Typescript, AWS, Docker",72000.0,27.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No,TypeScript
280,24,Male,Munich,Software Engineer,3.0,2.0,Middle,Java/C++,"Python, C/C++, Javascript / Typescript, Java / Scala, SQL, Kubernetes",77600.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,Java
281,35,Male,Hamburg,Software Engineer,13.0,3.0,Lead,Scala / Python,"Python, Ruby, Java / Scala, Google Cloud, Kubernetes, Docker",95000.0,25.0,full-time,Unlimited contract,English,51-100,Startup,No,Scala
282,31,Male,Dusseldorf,Software Engineer,7.0,3.0,Senior,C++,"Python, C/C++, Javascript / Typescript, SQL",50400.0,27.0,full-time,Unlimited contract,English,1000+,Product,No,C
